date,nb_views,nb_votes
2009-06-13,79696,126
2009-06-14,,
2009-06-15,,
2009-06-16,,
2009-06-17,36153,78
2009-06-18,34561,60
2009-06-19,141232,456
2009-06-20,,
2009-06-21,63821,110
2009-06-22,,
2009-06-23,,
2009-06-24,107806,181
2009-06-25,11290,31
2009-06-26,,
2009-06-27,26059,42
2009-06-28,,
2009-06-29,,
2009-06-30,,
2009-07-01,,
2009-07-02,98674,265
2009-07-03,170900,548
2009-07-04,,
2009-07-05,318593,521
2009-07-06,89914,239
2009-07-07,,
2009-07-08,,
2009-07-09,154791,279
2009-07-10,24668,79
2009-07-11,,
2009-07-12,222582,472
2009-07-13,179874,424
2009-07-14,126248,302
2009-07-15,141913,139
2009-07-16,77366,212
2009-07-17,,
2009-07-18,,
2009-07-19,125104,102
2009-07-20,110464,294
2009-07-21,44161,125
2009-07-22,209117,439
2009-07-23,,
2009-07-24,221062,398
2009-07-25,,
2009-07-26,,
2009-07-27,181065,497
2009-07-28,421404,766
2009-07-29,,
2009-07-30,,
2009-07-31,68269,134
2009-08-01,,
2009-08-02,101331,452
2009-08-03,21320,57
2009-08-04,,
2009-08-05,152600,305
2009-08-06,32185,41
2009-08-07,64844,142
2009-08-08,354992,728
2009-08-09,,
2009-08-10,112244,209
2009-08-11,237929,330
2009-08-12,87788,250
2009-08-13,235544,604
2009-08-14,17661,33
2009-08-15,63690,68
2009-08-16,174397,236
2009-08-17,,
2009-08-18,81570,138
2009-08-19,403030,614
2009-08-20,84498,126
2009-08-21,142358,354
2009-08-22,103151,220
2009-08-23,467276,528
2009-08-24,150895,228
2009-08-25,55015,88
2009-08-26,293273,288
2009-08-27,58463,165
2009-08-28,169199,628
2009-08-29,136832,207
2009-08-30,458448,1102
2009-08-31,,
2009-09-01,26133,74
2009-09-02,129326,338
2009-09-03,138527,279
2009-09-04,65655,121
2009-09-05,,
2009-09-06,54833,105
2009-09-07,688797,1749
2009-09-08,210040,595
2009-09-09,59918,97
2009-09-10,74964,96
2009-09-11,99834,198
2009-09-12,11644,44
2009-09-13,124594,223
2009-09-14,50596,129
2009-09-15,881876,1291
2009-09-16,541356,706
2009-09-17,,
2009-09-18,189224,404
2009-09-19,76978,173
2009-09-20,616142,1085
2009-09-21,665444,1072
2009-09-22,78610,107
2009-09-23,148224,356
2009-09-24,379370,407
2009-09-25,44306,93
2009-09-26,128708,222
2009-09-27,131599,294
2009-09-28,430705,873
2009-09-29,231824,521
2009-09-30,191798,348
2009-10-01,88944,200
2009-10-02,145606,256
2009-10-03,111662,166
2009-10-04,170738,233
2009-10-05,80901,188
2009-10-06,76566,124
2009-10-07,256716,522
2009-10-08,164656,567
2009-10-09,114791,218
2009-10-10,127382,379
2009-10-11,22249,40
2009-10-12,158653,194
2009-10-13,121755,205
2009-10-14,84294,162
2009-10-15,1272803,1707
2009-10-16,106741,144
2009-10-17,167887,407
2009-10-18,,
2009-10-19,,
2009-10-20,63056,97
2009-10-21,255297,468
2009-10-22,57433,107
2009-10-23,165147,257
2009-10-24,122906,212
2009-10-25,641201,689
2009-10-26,559614,1232
2009-10-27,432182,789
2009-10-28,149311,192
2009-10-29,492058,621
2009-10-30,171539,348
2009-10-31,167081,318
2009-11-01,67082,160
2009-11-02,255554,423
2009-11-03,109592,181
2009-11-04,170924,139
2009-11-05,32036,51
2009-11-06,1510176,2396
2009-11-07,162442,224
2009-11-08,414544,653
2009-11-09,159878,223
2009-11-10,,
2009-11-11,363921,480
2009-11-12,180620,358
2009-11-13,150776,312
